function,dimension,p_sigma_mode,initial_sigma,seed,best_f,evaluations,reached_target
rosenbrock,2,zero,5.0,9,7.924465516023605e-09,619,True
rosenbrock,2,zero,5.0,10,2.7252286185296755e-09,721,True
rosenbrock,2,random,0.1,1,2.2622886286480084e-09,505,True
rosenbrock,2,random,0.1,2,4.987366105772309e-09,505,True
rosenbrock,2,random,0.1,3,7.239266639329664e-09,721,True
rosenbrock,2,random,0.1,4,7.669967927441973e-09,577,True
rosenbrock,2,random,0.1,5,3.50473888945036e-09,745,True
rosenbrock,2,random,0.1,6,3.3886626029319183e-09,499,True
rosenbrock,2,random,0.1,7,8.734622351616986e-09,589,True
rosenbrock,2,random,0.1,8,4.999571267915397e-09,1051,True
rosenbrock,2,random,0.1,9,7.1530344267202125e-09,415,True
rosenbrock,2,random,0.1,10,4.006729632187462e-09,541,True
rosenbrock,2,random,0.3,1,2.3224160305544085e-09,1027,True
rosenbrock,2,random,0.3,2,2.91334685296744e-09,535,True
rosenbrock,2,random,0.3,3,3.674256332002555e-09,577,True
rosenbrock,2,random,0.3,4,2.088108612712863e-09,619,True
rosenbrock,2,random,0.3,5,9.689975743329931e-10,679,True
rosenbrock,2,random,0.3,6,9.530817579117729e-09,565,True
rosenbrock,2,random,0.3,7,3.911954082899822e-09,493,True
rosenbrock,2,random,0.3,8,5.509410337173125e-09,1141,True
rosenbrock,2,random,0.3,9,4.857959250175017e-09,799,True
rosenbrock,2,random,0.3,10,3.621053055928623e-09,697,True
rosenbrock,2,random,0.5,1,4.64875653141844e-09,811,True
rosenbrock,2,random,0.5,2,6.3335295835702024e-09,565,True
rosenbrock,2,random,0.5,3,7.256745464674017e-09,793,True
rosenbrock,2,random,0.5,4,1.9686125116169185e-10,613,True
rosenbrock,2,random,0.5,5,7.891119495641914e-09,499,True
rosenbrock,2,random,0.5,6,1.500300079190122e-09,499,True
rosenbrock,2,random,0.5,7,1.174617489207452e-09,577,True
rosenbrock,2,random,0.5,8,6.156170752714911e-09,1093,True
rosenbrock,2,random,0.5,9,9.985390689960413e-09,847,True
rosenbrock,2,random,0.5,10,9.90099136856556e-09,559,True
rosenbrock,2,random,1.0,1,2.483904841974711e-09,709,True
rosenbrock,2,random,1.0,2,8.37683783464308e-09,517,True
rosenbrock,2,random,1.0,3,9.86071818161194e-09,481,True
rosenbrock,2,random,1.0,4,1.5129391700121744e-09,607,True
rosenbrock,2,random,1.0,5,5.506362265983396e-09,481,True
rosenbrock,2,random,1.0,6,5.918527792938621e-09,535,True
rosenbrock,2,random,1.0,7,1.2461945767522924e-09,421,True
rosenbrock,2,random,1.0,8,6.793727136500991e-09,1057,True
rosenbrock,2,random,1.0,9,7.89796129986164e-09,1153,True
rosenbrock,2,random,1.0,10,9.273137039682688e-09,715,True
rosenbrock,2,random,2.0,1,9.756281142322676e-09,367,True
rosenbrock,2,random,2.0,2,6.348270379992893e-09,763,True
rosenbrock,2,random,2.0,3,6.297452636999255e-09,1297,True
rosenbrock,2,random,2.0,4,6.3387779420815796e-09,613,True
rosenbrock,2,random,2.0,5,8.418009499065394e-09,475,True
rosenbrock,2,random,2.0,6,5.4468357702096714e-09,943,True
rosenbrock,2,random,2.0,7,7.834255689029758e-09,583,True
rosenbrock,2,random,2.0,8,2.0453193604825476e-09,1201,True
rosenbrock,2,random,2.0,9,8.273315454576361e-09,835,True
rosenbrock,2,random,2.0,10,3.881849668877443e-09,625,True
rosenbrock,2,random,5.0,1,4.719916954313162e-10,415,True
rosenbrock,2,random,5.0,2,2.0565506434862422e-11,973,True
rosenbrock,2,random,5.0,3,1.6963523172224512e-10,1201,True
rosenbrock,2,random,5.0,4,5.835412586605527e-09,499,True
rosenbrock,2,random,5.0,5,9.398587782252385e-09,397,True
rosenbrock,2,random,5.0,6,3.0356192098319185e-09,655,True
rosenbrock,2,random,5.0,7,3.474074840955163e-09,577,True
rosenbrock,2,random,5.0,8,9.381674488827594e-09,589,True
rosenbrock,2,random,5.0,9,8.491683940203163e-09,517,True
rosenbrock,2,random,5.0,10,3.3839994635726518e-09,937,True
rosenbrock,10,zero,0.1,1,9.882447671501877e-09,7281,True
rosenbrock,10,zero,0.1,2,8.488715002599216e-09,5871,True
rosenbrock,10,zero,0.1,3,7.904505969505093e-09,6261,True
rosenbrock,10,zero,0.1,4,6.297924043070214e-09,7351,True
rosenbrock,10,zero,0.1,5,7.051755429473402e-09,6961,True
rosenbrock,10,zero,0.1,6,9.261486369583039e-09,5721,True
rosenbrock,10,zero,0.1,7,8.666071639566199e-09,7141,True
rosenbrock,10,zero,0.1,8,8.72387375514876e-09,6241,True
rosenbrock,10,zero,0.1,9,9.673718952006926e-09,6371,True
rosenbrock,10,zero,0.1,10,9.355190567237023e-09,6421,True
rosenbrock,10,zero,0.3,1,9.498959766493438e-09,6881,True
rosenbrock,10,zero,0.3,2,7.93279491723738e-09,5811,True
rosenbrock,10,zero,0.3,3,5.06016620421821e-09,5931,True
rosenbrock,10,zero,0.3,4,9.554105680240038e-09,6911,True
rosenbrock,10,zero,0.3,5,5.35459684274555e-09,6721,True
